date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:42:01	67/67	---MC-	200	added ('OK')	text/plain	date:Sat,%2004%20Jun%202022%2014:41:59%20GMT	https://www.portotheme.com/robots.txt		(from )
21:42:06	162065/162065	---M-Z	200	added ('OK')	text/html	date:Sat,%2004%20Jun%202022%2014:41:59%20GMT	https://www.portotheme.com/wordpress/porto/business-consulting3/	E:/BE2/prjBE2/www.portotheme.com/wordpress/porto/business-consulting3/index.html	(from )
21:42:08	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2004%20Jun%202022%2014:42:07%20GMT	https://www.portotheme.com/wordpress/porto/business-consulting3/xmlrpc.php	E:/BE2/prjBE2/www.portotheme.com/wordpress/porto/business-consulting3/xmlrpc.0.delayed	(from https://www.portotheme.com/wordpress/porto/business-consulting3/)
21:42:09	295/295	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Jun%202022%2014:42:08%20GMT	http://www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/favicon.png	E:/BE2/prjBE2/www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/favicon.1.delayed	(from https://www.portotheme.com/wordpress/porto/business-consulting3/)
21:42:12	789/789	---M--	200	added ('OK')	image/png	date:Sat,%2014%20Nov%202020%2016:19:52%20GMT	https://www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/favicon.png	E:/BE2/prjBE2/www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/favicon.png	(from https://www.portotheme.com/wordpress/porto/business-consulting3/)
21:42:12	304/304	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Jun%202022%2014:42:11%20GMT	http://www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon.png	E:/BE2/prjBE2/www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon.png	(from https://www.portotheme.com/wordpress/porto/business-consulting3/)
21:42:13	2171/2171	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Apr%202017%2004:26:40%20GMT	https://www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon.png	E:/BE2/prjBE2/www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon.png	(from https://www.portotheme.com/wordpress/porto/business-consulting3/)
21:42:13	312/312	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Jun%202022%2014:42:12%20GMT	http://www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon_120x120.png	E:/BE2/prjBE2/www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon_120x120.png	(from https://www.portotheme.com/wordpress/porto/business-consulting3/)
21:42:13	3626/3626	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Apr%202017%2004:26:40%20GMT	https://www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon_120x120.png	E:/BE2/prjBE2/www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon_120x120.png	(from https://www.portotheme.com/wordpress/porto/business-consulting3/)
21:42:14	310/310	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Jun%202022%2014:42:13%20GMT	http://www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon_76x76.png	E:/BE2/prjBE2/www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon_76x76.png	(from https://www.portotheme.com/wordpress/porto/business-consulting3/)
21:42:14	2575/2575	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Apr%202017%2004:26:40%20GMT	https://www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon_76x76.png	E:/BE2/prjBE2/www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon_76x76.png	(from https://www.portotheme.com/wordpress/porto/business-consulting3/)
21:42:15	312/312	---M--	302	error ('Found')	text/html	date:Sat,%2004%20Jun%202022%2014:42:13%20GMT	http://www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon_152x152.png	E:/BE2/prjBE2/www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon_152x152.png	(from https://www.portotheme.com/wordpress/porto/business-consulting3/)
21:42:39	4514/4514	---M--	200	added ('OK')	image/png	date:Wed,%2005%20Apr%202017%2004:26:40%20GMT	https://www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon_152x152.png	E:/BE2/prjBE2/www.portotheme.com/wordpress/porto/business-consulting3/wp-content/themes/porto/images/logo/apple-touch-icon_152x152.png	(from https://www.portotheme.com/wordpress/porto/business-consulting3/)
